"clave","entidad_federativa","clave_delito","delito","2022","2021","2020","2019"
0,"Estados Unidos Mexicanos",0,"Total",2234002,2130637,1856805,2086637
0,"Estados Unidos Mexicanos",10100,"Homicidio",45970,46961,45805,47285
0,"Estados Unidos Mexicanos",10200,"Feminicidio",1410,1546,1365,1059
0,"Estados Unidos Mexicanos",10300,"Aborto",872,735,663,741
0,"Estados Unidos Mexicanos",10400,"Lesiones",221264,203380,184860,214613
0,"Estados Unidos Mexicanos",10500,"Otros delitos que atentan contra la vida y la integridad corporal",10203,9211,10197,7309
0,"Estados Unidos Mexicanos",20100,"Privación de la libertad",9669,9375,9141,12206
0,"Estados Unidos Mexicanos",20200,"Tráfico de menores",39,53,21,31
0,"Estados Unidos Mexicanos",20300,"Retención o sustracción de menores e incapaces",16036,15723,14237,11484
0,"Estados Unidos Mexicanos",20400,"Rapto",113,158,153,157
0,"Estados Unidos Mexicanos",20500,"Desaparición forzada de personas",8556,930,632,798
0,"Estados Unidos Mexicanos",20601,"Secuestro - Secuestro extorsivo",483,633,687,1122
0,"Estados Unidos Mexicanos",20602,"Secuestro - Secuestro en calidad de rehén",27,30,28,32
0,"Estados Unidos Mexicanos",20603,"Secuestro - Secuestro para causar daño",34,15,26,39
0,"Estados Unidos Mexicanos",20604,"Secuestro - Secuestro exprés",44,81,87,165
0,"Estados Unidos Mexicanos",20605,"Secuestro - Otro tipo de secuestro",21,29,27,49
0,"Estados Unidos Mexicanos",20606,"Secuestro - No identificado",34,0,44,NA
0,"Estados Unidos Mexicanos",20700,"Otros delitos que atentan contra la libertad personal",5402,5569,3902,2126
0,"Estados Unidos Mexicanos",30100,"Abuso sexual",35006,29362,22977,24659
0,"Estados Unidos Mexicanos",30200,"Acoso sexual",11096,7097,5539,4207
0,"Estados Unidos Mexicanos",30300,"Hostigamiento sexual",2923,2111,1819,1915
0,"Estados Unidos Mexicanos",30401,"Violación - Violación simple",16061,15671,12865,14162
0,"Estados Unidos Mexicanos",30402,"Violación - Violación equiparada por introducir cualquier elemento, instrumento o cualquier parte del cuerpo humano, distinto al pene",6013,4330,2860,2688
0,"Estados Unidos Mexicanos",30403,"Violación - Violación equiparada en contra de menores e incapaces",2819,2409,1831,1699
0,"Estados Unidos Mexicanos",30404,"Violación - Otro tipo de violación",347,479,380,177
0,"Estados Unidos Mexicanos",30405,"Violación - No identificado",2,0,22,NA
0,"Estados Unidos Mexicanos",30500,"Estupro",1571,1585,1568,1447
0,"Estados Unidos Mexicanos",30600,"Incesto",13,13,5,14
0,"Estados Unidos Mexicanos",30700,"Otros delitos que atentan contra la libertad y la seguridad sexual",9207,7606,4680,2452
0,"Estados Unidos Mexicanos",40101,"Robo - Robo simple",59378,52060,49584,54517
0,"Estados Unidos Mexicanos",40102,"Robo - Robo a casa habitación",61278,61376,64464,83742
0,"Estados Unidos Mexicanos",40103,"Robo - Robo de vehículo",130359,135561,140344,180432
0,"Estados Unidos Mexicanos",40104,"Robo - Robo de autopartes",20832,20388,17981,18489
0,"Estados Unidos Mexicanos",40105,"Robo - Robo a transeúnte en vía pública",71203,70037,64792,84313
0,"Estados Unidos Mexicanos",40106,"Robo - Robo a transeúnte en espacio abierto al público",6571,5356,4492,3554
0,"Estados Unidos Mexicanos",40107,"Robo - Robo a persona en un lugar privado",3827,1322,674,6436
0,"Estados Unidos Mexicanos",40108,"Robo - Robo a transportista",8671,8574,9089,11114
0,"Estados Unidos Mexicanos",40109,"Robo - Robo en transporte público individual",2583,2524,2247,2672
0,"Estados Unidos Mexicanos",40110,"Robo - Robo en transporte público colectivo",12899,12453,11326,18345
0,"Estados Unidos Mexicanos",40111,"Robo - Robo en transporte individual",14478,15302,14023,15849
0,"Estados Unidos Mexicanos",40112,"Robo - Robo a institución bancaria",181,218,275,482
0,"Estados Unidos Mexicanos",40113,"Robo - Robo a negocio",85174,87638,97158,120400
0,"Estados Unidos Mexicanos",40114,"Robo - Robo de ganado",3355,3744,4197,5524
0,"Estados Unidos Mexicanos",40115,"Robo - Robo de maquinaria",884,1709,1047,855
0,"Estados Unidos Mexicanos",40116,"Robo - Robo de energía eléctrica",1260,1674,46,52
0,"Estados Unidos Mexicanos",40117,"Robo - Otros robos",139081,147197,130141,168652
0,"Estados Unidos Mexicanos",40118,"Robo - No identificado",3658,121,234,NA
0,"Estados Unidos Mexicanos",40201,"Delitos en materia de hidrocarburos y sus derivados - Sustracción de hidrocarburos y sus derivados",1932,1712,0,12
0,"Estados Unidos Mexicanos",40202,"Delitos en materia de hidrocarburos y sus derivados - Aprovechamiento de hidrocarburos y sus derivados",617,556,0,0
0,"Estados Unidos Mexicanos",40203,"Delitos en materia de hidrocarburos y sus derivados - Posesión ilícita de hidrocarburos y sus derivados",1683,1942,2,2
0,"Estados Unidos Mexicanos",40204,"Delitos en materia de hidrocarburos y sus derivados - Otros delitos en materia de hidrocarburos y sus derivados",1989,1945,2,0
0,"Estados Unidos Mexicanos",40205,"Delitos en materia de hidrocarburos y sus derivados - No identificado",0,0,0,NA
0,"Estados Unidos Mexicanos",40300,"Fraude",105980,95895,74001,77496
0,"Estados Unidos Mexicanos",40400,"Abuso de confianza",31563,30779,24592,27628
0,"Estados Unidos Mexicanos",40501,"Extorsión - Extorsión cometida por vía telefónica o cualquier otro medio electrónico o de comunicación",8084,6664,6164,6477
0,"Estados Unidos Mexicanos",40502,"Extorsión - Otro tipo de extorsión",2341,2083,844,2036
0,"Estados Unidos Mexicanos",40503,"Extorsión - No identificado",3987,3706,4050,NA
0,"Estados Unidos Mexicanos",40600,"Daño a la propiedad",151459,139625,115915,136614
0,"Estados Unidos Mexicanos",40700,"Despojo",31438,33131,28829,28809
0,"Estados Unidos Mexicanos",40800,"Otros delitos que atentan contra el patrimonio",13334,9345,8460,9453
0,"Estados Unidos Mexicanos",50100,"Violencia familiar",270591,254071,220609,209593
0,"Estados Unidos Mexicanos",50200,"Incumplimiento de obligaciones familiares",24731,23644,17917,23812
0,"Estados Unidos Mexicanos",50300,"Otros delitos contra la familia",10303,9276,8858,8334
0,"Estados Unidos Mexicanos",60101,"Delitos contra el libre desarrollo de la personalidad - Corrupción de menores e incapaces",3219,2606,2547,2165
0,"Estados Unidos Mexicanos",60102,"Delitos contra el libre desarrollo de la personalidad - Prostitución de menores e incapaces",16,18,20,40
0,"Estados Unidos Mexicanos",60103,"Delitos contra el libre desarrollo de la personalidad - Pornografía infantil",320,293,348,362
0,"Estados Unidos Mexicanos",60104,"Delitos contra el libre desarrollo de la personalidad - Turismo sexual",1,0,3,0
0,"Estados Unidos Mexicanos",60105,"Delitos contra el libre desarrollo de la personalidad - Pederastia",2708,2749,2263,2297
0,"Estados Unidos Mexicanos",60106,"Delitos contra el libre desarrollo de la personalidad - Otros delitos contra el libre desarrollo de la personalidad",4984,3220,69,336
0,"Estados Unidos Mexicanos",60107,"Delitos contra el libre desarrollo de la personalidad - No identificado",6,28,47,NA
0,"Estados Unidos Mexicanos",60201,"Trata de personas - Trata de personas con fines de explotación sexual",507,433,309,182
0,"Estados Unidos Mexicanos",60202,"Trata de personas - Trata de personas con fines de trabajo o servicios forzados",43,32,22,27
0,"Estados Unidos Mexicanos",60203,"Trata de personas - Trata de personas con fines de tráfico de órganos",2,0,0,NA
0,"Estados Unidos Mexicanos",60204,"Trata de personas - Trata de personas con otros fines",123,117,72,131
0,"Estados Unidos Mexicanos",60205,"Trata de personas - No identificado",102,106,141,NA
0,"Estados Unidos Mexicanos",60300,"Violencia de género en todas sus modalidades distinta a la violencia familiar",3069,2030,1524,2996
0,"Estados Unidos Mexicanos",60400,"Discriminación",2569,1769,1339,1601
0,"Estados Unidos Mexicanos",60500,"Lenocinio",25,46,57,74
0,"Estados Unidos Mexicanos",60600,"Otros delitos contra la sociedad",5476,9517,5921,3202
0,"Estados Unidos Mexicanos",70101,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión simple de narcóticos",86716,84731,72546,75385
0,"Estados Unidos Mexicanos",70102,"Delitos contra la salud relacionados con narcóticos en su modalidad de narcomenudeo - Posesión con fines de comercio o suministro de narcóticos",11084,10985,12856,10343
